frame,lingua
4_2_1_25_30_1_m.avi_frame143.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame144.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame145.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame146.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame147.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame148.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame149.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame150.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame151.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame152.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame153.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame154.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame155.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame156.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame157.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame158.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame159.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame160.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame161.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame162.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame163.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame164.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame165.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame166.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame167.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame168.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame170.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame169.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame171.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame172.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame173.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame174.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame175.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame176.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame177.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame178.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame179.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame180.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame181.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame182.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame183.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame184.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame185.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame186.jpg,Spagnolo
4_2_1_25_30_1_m.avi_frame187.jpg,Spagnolo
